FrameNr,NumberMidPoints,MidPoint_1_x,MidPoint_1_y,MidPoint_2_x,MidPoint_2_y,MidPoint_3_x,MidPoint_3_y,MidPoint_4_x,MidPoint_4_y,MidPoint_5_x,MidPoint_5_y,MidPoint_6_x,MidPoint_6_y,MidPoint_7_x,MidPoint_7_y
236,5,744.2815384615385,1177.2569230769232,591.5151515151515,961.6666666666667,1496.5755813953488,782.0697674418604,856.4861111111111,341.3148148148148,118.44354838709677,278.42338709677415,NaN,NaN,NaN,NaN
237,5,745.4145569620254,1214.2120253164558,592.5,998.9646153846154,1497.1028985507246,819.7289855072463,856.963768115942,379.98792270531396,118.22727272727273,316.0413223140496,NaN,NaN,NaN,NaN
238,5,746.6792452830189,1250.8993710691823,593.4216300940438,1036.3557993730408,1497.5792682926829,857.5182926829268,857.7914572864322,418.7311557788945,118.13333333333334,353.75,NaN,NaN,NaN,NaN
239,5,747.917445482866,1287.4065420560748,594.4418960244649,1073.4296636085628,1498.0462427745665,895.014450867052,858.2488151658767,457.542654028436,117.95267489711934,391.56584362139915,NaN,NaN,NaN,NaN
240,4,595.7181818181818,1110.260606060606,1498.5,932.2412790697674,858.8440366972477,496.1146788990826,117.872,429.17999999999995,NaN,NaN,NaN,NaN,NaN,NaN
241,4,596.7857142857143,1146.9099378881988,1498.812865497076,969.4298245614035,859.4532710280374,534.8224299065421,117.82244897959184,466.94897959183675,NaN,NaN,NaN,NaN,NaN,NaN
242,4,598.025,1183.4,1499.169616519174,1006.6356932153392,860.0951219512195,573.5536585365853,117.5875,504.70000000000005,NaN,NaN,NaN,NaN,NaN,NaN
243,4,599.3456591639872,1219.7475884244373,1499.551515151515,1043.4848484848485,860.7153846153847,612.3051282051282,117.4475982532751,542.4039301310044,NaN,NaN,NaN,NaN,NaN,NaN
244,4,600.7926045016077,1255.7443729903537,1499.744648318043,1080.5091743119267,861.2970297029703,651.0643564356436,117.29017857142857,580.2142857142857,NaN,NaN,NaN,NaN,NaN,NaN
245,4,1500.172619047619,1116.9761904761904,861.9767025089606,690.2096774193549,117.28512396694215,618.0371900826447,2296.1348122866893,110.22696245733778,NaN,NaN,NaN,NaN,NaN,NaN
246,4,1500.4113149847094,1153.3990825688074,862.6238670694864,728.3972809667674,117.21206225680933,655.8190661478599,2296.564189189189,148.96959459459458,NaN,NaN,NaN,NaN,NaN,NaN
247,4,1500.5611620795107,1189.5581039755352,863.539156626506,766.8885542168674,117.50660066006601,693.549504950495,2296.964406779661,185.51694915254234,NaN,NaN,NaN,NaN,NaN,NaN
248,3,1500.7167182662538,1225.6640866873065,864.2963525835867,805.4574468085107,117.74159021406727,730.9250764525993,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
249,3,1500.983660130719,1261.3235294117646,865.3119122257053,843.9514106583072,118.27910447761194,768.610447761194,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
250,3,866.1746987951807,882.316265060241,118.82069970845481,806.1472303206997,1877.6516393442623,19.885245901639337,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
251,3,867.1676646706587,920.4820359281437,119.41884057971015,843.7086956521739,1879.253036437247,58.4271255060728,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
252,3,868.0595238095239,958.6130952380952,120.12536023054756,880.9726224783861,1880.6463414634147,96.78455284552842,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
253,4,869.0770392749245,996.6480362537764,121.02312138728324,918.0549132947976,1882.0943775100402,135.14257028112456,2231.137037037037,13.266666666666652,NaN,NaN,NaN,NaN,NaN,NaN
254,4,870.0896656534954,1034.5607902735562,121.97492625368731,955.184365781711,1883.6016949152543,173.6906779661017,2230.910646387833,51.75855513307988,NaN,NaN,NaN,NaN,NaN,NaN
255,4,871.2258566978193,1072.2352024922118,123.10117302052785,992.2390029325513,1885.0652173913043,212.391304347826,2230.4176470588236,90.26470588235293,NaN,NaN,NaN,NaN,NaN,NaN
256,4,872.3411214953271,1109.6619937694704,124.22543352601156,1029.0722543352601,1886.4831932773109,250.8571428571429,2229.9615384615386,128.9000000000001,NaN,NaN,NaN,NaN,NaN,NaN
257,4,873.3364197530864,1146.9012345679012,125.58259587020649,1065.7625368731563,1887.8333333333333,289.4670781893004,2229.4846153846156,167.20769230769224,NaN,NaN,NaN,NaN,NaN,NaN
258,4,874.54,1184.0784615384616,127.,1102.2068965517242,1889.3775510204082,327.9775510204082,2229.023985239852,205.57380073800732,NaN,NaN,NaN,NaN,NaN,NaN
259,5,875.7547169811321,1220.867924528302,128.46153846153845,1138.473372781065,1890.6974789915967,366.4831932773109,2228.7131782945735,244.2131782945737,1600.226872246696,36.55286343612329,NaN,NaN,NaN,NaN
260,6,877.1322580645161,1257.5096774193548,130.15680473372782,1174.6479289940828,1892.255364806867,405.02789699570815,2228.18359375,282.66015625,1601.4414414414414,73.36486486486478,2008.6744680851064,46.55531914893618,NaN,NaN
261,5,131.86336336336336,1210.695195195195,1893.5263157894738,443.4649122807018,2227.879446640316,321.02964426877475,1602.4528301886792,110.18867924528308,2010.2713004484306,84.70627802690592,NaN,NaN,NaN,NaN
262,5,133.65853658536585,1246.4908536585365,1894.7608695652175,482.0695652173913,2227.452755905512,359.72834645669286,1603.5779816513761,147.21100917431204,2011.8056768558952,123.25545851528386,NaN,NaN,NaN,NaN
263,5,135.68126888217523,1281.8232628398791,1896.202928870293,520.6004184100418,2226.9486692015207,398.26045627376425,1604.6592920353983,183.85398230088504,2013.3312757201645,161.47942386831278,NaN,NaN,NaN,NaN
264,4,1897.4163179916318,559.0857740585774,2226.435606060606,436.814393939394,1605.7901785714287,220.87053571428578,2014.6914893617022,199.82340425531925,NaN,NaN,NaN,NaN,NaN,NaN
265,4,1898.5905172413793,597.6896551724138,2225.8861003861,475.2644787644788,1606.8136363636363,257.62272727272716,2016.3733624454148,238.22925764192132,NaN,NaN,NaN,NaN,NaN,NaN
266,4,1899.655844155844,636.3614718614718,2225.2,513.928,1608.0190476190476,294.48095238095243,2017.7739130434782,276.5695652173913,NaN,NaN,NaN,NaN,NaN,NaN
267,4,1900.6811320754716,675.1867924528302,2224.5122950819673,552.6065573770492,1609.0074626865671,331.64925373134326,2019.2752293577983,315.02752293577987,NaN,NaN,NaN,NaN,NaN,NaN
268,4,1901.6253918495297,713.4968652037618,2223.7818532818533,591.2413127413128,1610.1,368.61162790697676,2020.7597402597403,353.53463203463207,NaN,NaN,NaN,NaN,NaN,NaN
269,4,1902.564024390244,752.0487804878048,2222.810606060606,629.9015151515151,1611.052036199095,405.53619909502265,2022.0714285714287,391.8896103896104,NaN,NaN,NaN,NaN,NaN,NaN
270,4,1903.320809248555,790.2196531791908,2221.690972222222,668.4895833333334,1612.081818181818,442.6954545454546,2023.5818965517242,430.3189655172414,NaN,NaN,NaN,NaN,NaN,NaN
271,4,1903.9913294797689,828.3063583815028,2220.6146496815286,707.0191082802547,1612.9976958525347,479.7027649769585,2024.9336283185842,468.7522123893805,NaN,NaN,NaN,NaN,NaN,NaN
272,4,1904.7,866.6164179104478,2219.469604863222,745.4817629179331,1613.895,516.76,2026.3450704225352,507.2276995305165,NaN,NaN,NaN,NaN,NaN,NaN
273,5,1905.3392857142858,904.6636904761905,2218.067335243553,783.7005730659026,1614.8658536585365,553.9,2027.6090909090908,545.8227272727273,2293.3129496402876,37.91726618705047,NaN,NaN,NaN,NaN
274,5,1905.9094955489613,942.6513353115727,2216.653846153846,822.0185185185185,1615.8886255924172,591.0023696682465,2028.7844444444445,584.3488888888888,2294.886029411765,76.22058823529414,NaN,NaN,NaN,NaN
275,6,1906.3466076696166,980.3053097345132,2215.0915492957747,860.1281690140845,1616.6146788990825,628.0871559633027,2029.8617021276596,622.8787234042553,2296.312274368231,114.38447653429603,2233.078125,25.0078125,NaN,NaN
276,6,1906.8157894736842,1017.8859649122808,2213.5085959885387,898.1275071633238,1617.4709543568465,665.350622406639,2030.9192307692308,661.3884615384616,2297.276119402985,152.49626865671644,2232.6439688715955,62.65953307392988,NaN,NaN
277,6,1907.2240356083087,1055.3961424332344,2211.795652173913,936.0420289855073,1618.1296296296296,702.3484848484849,2031.8050847457628,699.8152542372882,2297.434362934363,190.9671814671815,2232.4510204081635,100.38163265306116,NaN,NaN
278,6,1907.4538461538461,1092.4692307692308,2209.8654970760235,973.7894736842105,1618.9247491638796,738.8311036789298,2032.6475409836066,737.9426229508197,2297.5238095238096,229.25,2231.9495798319326,137.99579831932783,NaN,NaN
279,6,1907.4969230769232,1129.5984615384616,2207.8782991202347,1011.5205278592375,1619.629129129129,776.0525525525526,2033.5,776.4786585365854,2297.8891050583657,267.5817120622569,2231.5338983050847,175.57627118644064,NaN,NaN
280,6,1907.6932515337423,1166.426380368098,2205.813953488372,1048.9302325581396,2034.1973293768547,814.5385756676558,1620.2014925373135,812.7298507462687,2298.1428571428573,305.8947368421053,2231.285123966942,213.42148760330588,NaN,NaN
281,6,1907.8060606060606,1203.1030303030302,2203.686246418338,1086.090257879656,2034.785294117647,852.7705882352941,1620.890670553936,849.4650145772595,2298.2303370786517,344.13295880149815,2230.9268774703555,250.9505928853755,NaN,NaN
282,6,1907.6384615384616,1239.5307692307692,2201.4181286549706,1123.2602339181287,2035.2981927710844,890.6475903614457,1621.5207100591715,886.2189349112426,2298.1363636363635,382.3863636363636,2230.35306122449,288.5897959183674,NaN,NaN
283,6,1907.559375,1275.71875,2198.9542772861355,1160.0309734513276,2035.7319277108434,928.4668674698795,1621.9395280235988,922.5,2298.1171875,420.70703125,2229.768907563025,326.3487394957983,NaN,NaN
284,5,2196.5766871165642,1196.659509202454,2035.9646153846154,966.2784615384616,1622.3461538461538,958.9030769230769,2297.987804878049,459.04471544715443,2229.4210526315787,363.93859649122805,NaN,NaN,NaN,NaN
285,5,2193.9294294294295,1233.4249249249249,2036.2222222222222,1003.8148148148148,1622.7953846153846,995.2230769230769,2297.6967871485945,497.31526104417674,2229.1180257510728,401.5815450643777,NaN,NaN,NaN,NaN
286,5,2191.378048780488,1269.469512195122,2036.4294478527606,1041.40490797546,1623.2807807807808,1031.2777777777778,2297.173151750973,535.624513618677,2228.6322314049585,439.31404958677683,NaN,NaN,NaN,NaN
287,4,2036.596096096096,1078.5240240240241,1623.581818181818,1067.1242424242423,2296.5846153846155,573.876923076923,2228.095041322314,477.02479338842977,NaN,NaN,NaN,NaN,NaN,NaN
288,5,2036.454128440367,1115.551987767584,1623.8333333333333,1102.7121212121212,2296.0538461538463,612.2807692307692,2227.4958158995814,514.6213389121339,2191.5941176470587,14.001960784313724,NaN,NaN,NaN,NaN
289,5,2036.481308411215,1152.3691588785045,1624.2138364779873,1138.2767295597484,2295.333922261484,650.8533568904594,2226.972103004292,552.4141630901288,2193.0714285714284,52.15873015873012,NaN,NaN,NaN,NaN
290,5,2036.3938906752412,1189.0209003215434,1624.3967741935485,1173.541935483871,2294.4555555555557,688.8523809523809,2226.3693693693695,590.0855855855856,2194.4375,90.47499999999991,NaN,NaN,NaN,NaN
291,5,2036.16875,1225.434375,1624.709003215434,1208.7218649517686,2293.603343465046,726.8373860182371,2225.5245901639346,627.844262295082,2195.8253012048194,128.57630522088357,NaN,NaN,NaN,NaN
